epoch,loss,mae,val_loss,val_mae,learning_rate
0,0.05507898733152875,0.05507898733152875,0.040578331177433334,0.040578331177433334,0.0001
1,0.03040018875617534,0.03040018875617534,0.023546600093444187,0.023546600093444187,0.0001
2,0.019676859756665572,0.019676859756665572,0.027897525268296402,0.027897525268296402,0.0001
3,0.01762391111281301,0.01762391111281301,0.019514464152355988,0.019514464152355988,0.0001
4,0.01664837004084672,0.01664837004084672,0.01976870760942499,0.01976870760942499,0.0001
5,0.015831732640175948,0.015831732640175948,0.021593093561629455,0.021593093561629455,0.0001
6,0.015504705287250025,0.015504705287250025,0.021253614375988644,0.021253614375988644,0.0001
7,0.014993821570117558,0.014993821570117558,0.018745298807819683,0.018745298807819683,0.0001
8,0.01480964622792921,0.01480964622792921,0.01924567110836506,0.01924567110836506,0.0001
9,0.014313521412467318,0.014313521412467318,0.019160154586037,0.019160154586037,0.0001
10,0.014284327792535936,0.014284327792535936,0.01944070200746258,0.01944070200746258,0.0001
11,0.014148690904091512,0.014148690904091512,0.01871631806716323,0.01871631806716323,0.0001
12,0.013821647735312581,0.013821647735312581,0.018606921813140314,0.018606921813140314,0.0001
13,0.012900555123841124,0.012900555123841124,0.017149707457671564,0.017149707457671564,0.0001
14,0.012622631171585194,0.012622631171585194,0.017048096284270287,0.017048096284270287,0.0001
15,0.011820111681507635,0.011820111681507635,0.01644140233596166,0.01644140233596166,0.0001
16,0.011866323974183095,0.011866323974183095,0.016356784229477245,0.016356784229477245,0.0001
17,0.011778044555934944,0.011778044555934944,0.01595608191564679,0.01595608191564679,0.0001
18,0.010712623596191406,0.010712623596191406,0.01700456098963817,0.01700456098963817,0.0001
19,0.010545323735901288,0.010545323735901288,0.015253146179020405,0.015253146179020405,0.0001
20,0.01011741764211495,0.01011741764211495,0.015459489077329636,0.015459489077329636,0.0001
21,0.010149179783184081,0.010149179783184081,0.014954035946478447,0.014954035946478447,0.0001
22,0.010622849854241525,0.010622849854241525,0.01669585534060995,0.01669585534060995,0.0001
23,0.00958899624778756,0.00958899624778756,0.014811064582318068,0.014811064582318068,0.0001
24,0.009545763114666832,0.009545763114666832,0.014717959643652042,0.014717959643652042,0.0001
25,0.009106095980054565,0.009106095980054565,0.016032378344486158,0.016032378344486158,0.0001
26,0.0097387345574264,0.0097387345574264,0.014343506967027983,0.014343506967027983,0.0001
27,0.009191558829375676,0.009191558829375676,0.014671958362062773,0.014671958362062773,0.0001
28,0.009188396141066082,0.009188396141066082,0.015686328057199717,0.015686328057199717,0.0001
29,0.009098581071676952,0.009098581071676952,0.014352874675144752,0.014352874675144752,0.0001
30,0.008817055129579135,0.008817055129579135,0.014964637191345295,0.014964637191345295,0.0001
